Surburb,postcode,country,population
Yarraville,3013,England,501
Yarraville,3013,New Zealand,369
Yarraville,3013,Greece,326
Yarrambat,3091,Italy,40
Yarrambat,3091,England,39
Yarrambat,3091,India,17
Yallambie,3085,England,113
Yallambie,3085,China,80
Yallambie,3085,India,65
Wyndham Vale,3024,India,1878
Wyndham Vale,3024,New Zealand,793
Wyndham Vale,3024,England,584
Wonga Park,3115,England,186
Wonga Park,3115,New Zealand,30
Wonga Park,3115,Germany,27
Windsor,3181,England,306
Windsor,3181,New Zealand,274
Windsor,3181,Greece,243
Williamstown North,3016,England,83
Williamstown North,3016,New Zealand,36
Williamstown North,3016,India,17
Williamstown,3016,England,733
Williamstown,3016,New Zealand,224
Williamstown,3016,Italy,137
Williams Landing,3027,India,1184
Williams Landing,3027,China,507
Williams Landing,3027,New Zealand,248
Wheelers Hill,3150,China,1879
Wheelers Hill,3150,Malaysia,737
Wheelers Hill,3150,India,719
Westmeadows,3049,Italy,191
Westmeadows,3049,England,113
Westmeadows,3049,Turkey,81
West Melbourne,3003,China,411
West Melbourne,3003,India,265
West Melbourne,3003,South Korea,252
West Footscray,3012,Vietnam,815
West Footscray,3012,India,646
West Footscray,3012,New Zealand,242
Werribee South,3030,Italy,67
Werribee South,3030,England,54
Werribee South,3030,Greece,54
Werribee,3030,India,1814
Werribee,3030,England,1145
Werribee,3030,New Zealand,1029
Wattle Glen,3096,England,100
Wattle Glen,3096,Northern Ireland,16
Wattle Glen,3096,Scotland,14
Watsonia North,3087,Italy,120
Watsonia North,3087,England,86
Watsonia North,3087,Greece,80
Watsonia,3087,England,120
Watsonia,3087,China,110
Watsonia,3087,India,74
Waterways,3195,China,180
Waterways,3195,India,111
Waterways,3195,England,107
Warranwood,3134,England,222
Warranwood,3134,South Africa,55
Warranwood,3134,New Zealand,54
Warrandyte South,3114,England,29
Warrandyte South,3114,Italy,14
Warrandyte South,3114,China,10
Warrandyte,3113,England,244
Warrandyte,3113,China,93
Warrandyte,3113,Italy,76
Wantirna South,3152,China,1592
Wantirna South,3152,Malaysia,937
Wantirna South,3152,India,810
Wantirna,3152,China,970
Wantirna,3152,Malaysia,439
Wantirna,3152,India,404
Wandin North,3139,England,149
Wandin North,3139,Italy,41
Wandin North,3139,Netherlands,37
Wandin East,3139,Italy,24
Wandin East,3139,England,7
Wandin East,3139,Canada,3
Viewbank,3084,China,356
Viewbank,3084,England,200
Viewbank,3084,Italy,178
Vermont South,3133,China,1310
Vermont South,3133,India,459
Vermont South,3133,Malaysia,350
Upwey,3158,England,384
Upwey,3158,New Zealand,108
Upwey,3158,Germany,64
Upper Ferntree Gully,3156,England,223
Upper Ferntree Gully,3156,New Zealand,39
Upper Ferntree Gully,3156,Germany,32
Tyabb,3913,England,233
Tyabb,3913,New Zealand,41
Tyabb,3913,Netherlans,30
Tullamarine,3043,India,254
Tullamarine,3043,Italy,240
Tullamarine,3043,Greece,133
Truganina,3029,India,4164
Truganina,3029,Philippines,884
Truganina,3029,New Zealand,840
Tremont,3785,England,8
Tremont,3785,Germany,4
Tremont,3785,United States,3
Travancore,3032,China,297
Travancore,3032,India,177
Travancore,3032,Malaysia,88
Tootgarook,3941,England,119
Tootgarook,3941,Italy,81
Tootgarook,3941,New Zealand,40
Toorak,3142,China,469
Toorak,3142,England,397
Toorak,3142,New Zealand,274
Thornbury,3071,Greece,839
Thornbury,3071,Italy,660
Thornbury,3071,England,464
Thomastown,3074,Italy,1378
Thomastown,3074,India,1293
Thomastown,3074,The former Yugoslav Republic of Macedonia,1152
The Patch,3792,England,55
The Patch,3792,Germany,15
The Patch,3792,New Zealand,13
The Basin,3154,England,250
The Basin,3154,Germany,113
The Basin,3154,New Zealand,45
Templestowe Lower,3107,China,1019
Templestowe Lower,3107,Greece,497
Templestowe Lower,3107,Italy,427
Templestowe,3106,China,1329
Templestowe,3106,Italy,475
Templestowe,3106,Malaysia,451
Tecoma,3160,England,139
Tecoma,3160,New Zealand,26
Tecoma,3160,South Africa,19
Taylors Lakes,3038,India,485
Taylors Lakes,3038,Italy,444
Taylors Lakes,3038,The former Yugosav Republic of Macedonia,348
Taylors Hill,3037,India,822
Taylors Hill,3037,Philippines,392
Taylors Hill,3037,Vietnam,379
Tarneit,3029,India,6478
Tarneit,3029,New Zealand,1686
Tarneit,3029,Philippines,1362
Sydenham,3037,India,1232
Sydenham,3037,Philippines,436
Sydenham,3037,New Zealand,188
Surrey Hills,3127,China,683
Surrey Hills,3127,England,497
Surrey Hills,3127,Malaysia,233
Sunshine West,3020,Vietnam,2521
Sunshine West,3020,Malta,600
Sunshine West,3020,India,568
Sunshine North,3020,Vietnam,3023
Sunshine North,3020,Malta,471
Sunshine North,3020,Myanmar,285
Sunshine,3020,Vietnam,1230
Sunshine,3020,India,553
Sunshine,3020,Myanmar,280
Strathmore Heights,3041,Italy,23
Strathmore Heights,3041,England,20
Strathmore Heights,3041,Greece,18
Strathmore,3041,Italy,188
Strathmore,3041,England,170
Strathmore,3041,India,97
St Kilda West,3182,England,173
St Kilda West,3182,India,127
St Kilda West,3182,New Zealand,115
St Kilda East,3183,England,509
St Kilda East,3183,New Zealand,329
St Kilda East,3183,India,318
St Kilda,3182,England,1054
St Kilda,3182,New Zealand,771
St Kilda,3182,India,424
St Helena,3088,England,99
St Helena,3088,Italy,56
St Helena,3088,New Zealand,30
St Albans,3021,Vietnam,6640
St Albans,3021,India,2721
St Albans,3021,Malta,1200
Springvale South,3172,Vietnam,2497
Springvale South,3172,Cambodia,1729
Springvale South,3172,India,656
Springvale,3171,Vietnam,4511
Springvale,3171,India,1986
Springvale,3171,China,1140
Spotswood,3015,New Zealand,76
Spotswood,3015,England,75
Spotswood,3015,Italy,49
Southbank,3006,China,2469
Southbank,3006,India,863
Southbank,3006,Malaysia,773
South Yarra,3141,China,1424
South Yarra,3141,England,1121
South Yarra,3141,New Zealand,863
South Wharf,3006,England,5
South Wharf,3006,New Zealand,4
South Wharf,3006,Vietnam,4
South Morang,3752,India,1446
South Morang,3752,Italy,596
South Morang,3752,The former Yugoslav Republic of Macedonia,556
South Melbourne,3205,England,525
South Melbourne,3205,China,333
South Melbourne,3205,New Zealand,311
South Kingsville,3015,England,62
South Kingsville,3015,New Zealand,43
South Kingsville,3015,India,34
Sorrento,3943,England,75
Sorrento,3943,Italy,38
Sorrento,3943,New Zealand,12
Somerville,3912,England,793
Somerville,3912,New Zealand,138
Somerville,3912,Scotland,112
